category,subcategory,command,syntax,description,example,parameters,notes,use_case,related_commands
Installation Issues,Dependencies Missing,install_dependencies,sudo apt-get install dependencies,KiCad or Ngspice dependencies not installed properly,sudo apt-get install kicad ngspice,Package names for Ubuntu,Check system requirements before installation,Fresh installation on Ubuntu,verify_installation
Installation Issues,Permission Errors,fix_permissions,sudo chmod +x install_script,Installation fails due to insufficient permissions,sudo chmod +x eSim-2.3.run,Executable file path,Run as administrator on Windows,Installation script won't execute,installation_troubleshooting
Installation Issues,Path Issues,set_path,export PATH=$PATH:/opt/eSim,eSim commands not found in terminal,export PATH=$PATH:/opt/eSim-2.3/bin,Correct eSim installation directory,Add to .bashrc for permanent fix,Command not found errors,environment_setup
Installation Issues,Version Conflicts,version_check,esim --version,Conflicting versions of dependencies installed,Check KiCad version compatibility,Version numbers,Uninstall old versions first,Multiple eSim versions installed,uninstall_old
Simulation Errors,Netlist Generation Failed,check_netlist,Tools → Generate Netlist,Schematic cannot be converted to SPICE netlist,Missing ground connection in circuit,Proper component labeling required,All components must have SPICE models,Netlist conversion errors,add_spice_models
Simulation Errors,Convergence Problems,convergence_fix,.options gmin=1e-12,Simulation fails to converge,".options gmin=1e-12 abstol=1e-12",Tolerance parameters,Adjust simulation options,Large circuits or nonlinear elements,simulation_options
Simulation Errors,Model Not Found,add_model,Model Editor → Import,Component SPICE model missing from library,Import transistor.lib to model library,Model file path,Check model syntax,Custom components not simulating,model_library
Simulation Errors,Syntax Errors,fix_syntax,Edit netlist manually,SPICE syntax errors in netlist,Fix ".model" statement format,Proper SPICE syntax,Use Model Editor for validation,Simulation won't start,netlist_debug
Schematic Issues,Component Not Found,add_component_library,Library → Add,Required component missing from library,Add custom component library,Library file path,Install additional KiCad libraries,Missing components in palette,library_manager
Schematic Issues,ERC Violations,run_erc,Tools → ERC,Electrical Rule Check failures,Unconnected pins or power issues,Design rule settings,Fix all ERC errors before simulation,Schematic validation fails,design_rules
Schematic Issues,Pin Connection Errors,fix_connections,Manual wire placement,Components not properly connected,Add junction dots at wire intersections,Proper wire routing,Check for floating nodes,Connectivity issues,wire_connections
Schematic Issues,Label Issues,fix_labels,Edit component properties,Component reference designators missing,Set R1 R2 for resistors V1 for voltage source,Unique component names,Sequential numbering required,Duplicate component names,component_properties
PCB Design Issues,Footprint Missing,assign_footprint,Tools → Assign Footprints,Component footprint not assigned,Map schematic symbol to PCB footprint,Footprint library selection,Check component associations,PCB layout cannot be generated,footprint_library
PCB Design Issues,DRC Violations,run_drc,Tools → DRC,Design Rule Check failures in PCB,Trace width or spacing violations,Design rule file settings,Adjust PCB layout or rules,PCB manufacturing errors,pcb_rules
PCB Design Issues,Routing Problems,manual_route,Route → Interactive Router,Auto-routing fails or incomplete,Manually route critical nets,Layer and via settings,Use multiple PCB layers,Complex PCB layouts,via_placement
Performance Issues,Simulation Slow,optimize_simulation,Reduce timestep or complexity,Simulation takes too long to complete,Reduce circuit complexity or timestep,Simulation parameters,Use appropriate analysis types,Large circuit simulation,simulation_tuning
Performance Issues,Memory Issues,increase_memory,System settings,Out of memory during simulation,Close other applications increase swap,System memory allocation,Monitor system resources,Complex mixed-signal circuits,system_resources
Performance Issues,GUI Freezing,restart_gui,Ctrl+Alt+T → killall eSim,eSim interface becomes unresponsive,Restart eSim application,Process management,Save work frequently,Large schematics or long simulations,force_quit
Model Issues,Custom Model Errors,validate_model,Model Editor → Check Syntax,User-created SPICE models have errors,Check .model statement syntax,SPICE model parameters,Refer to SPICE manual,Custom component simulation,spice_syntax
Model Issues,Library Path Wrong,fix_library_path,Configure → Library Paths,Model libraries not found,Set correct path to model files,Directory paths,Use absolute paths,Model import failures,path_configuration
File Issues,Project Won't Open,repair_project,File → Recent Projects,eSim project file corrupted,Restore from backup or recreate,Project file integrity,Regular project backups,Lost work recovery,backup_restore
File Issues,Save Errors,fix_save_permissions,Change file permissions,Cannot save project files,Check folder write permissions,File system permissions,Save to user directory,Permission denied errors,file_permissions
Mixed Signal Issues,NGHDL Setup,configure_nghdl,NGHDL → Configuration,Mixed-signal simulation setup problems,Configure Verilog/VHDL compiler paths,Compiler installation paths,Install GHDL and Verilator,Digital simulation not working,digital_setup
Mixed Signal Issues,Interface Errors,debug_interface,Check log files,Analog-digital interface problems,Verify interface component connections,Interface component parameters,Check simulation log for errors,Mixed-signal coupling issues,simulation_log
Export Issues,Gerber Generation,fix_gerber,File → Plot,PCB Gerber files not generated correctly,Check layer setup and plot settings,Layer selection and format,Verify plot output directory,Manufacturing file problems,plot_settings
Export Issues,Netlist Export,export_debug,File → Export → Netlist,Netlist export fails or incomplete,Check component models and connections,Export format selection,Validate netlist before export,External tool integration,netlist_validation
System Issues,Display Problems,fix_display,System display settings,GUI elements not displaying correctly,Adjust system scaling or resolution,Display configuration,Check graphics drivers,High DPI displays,graphics_setup
System Issues,Font Issues,configure_fonts,System font settings,Text not readable in interface,Install required fonts or change settings,Font configuration,Restart after font changes,Text rendering problems,system_fonts
Integration Issues,KiCad Version,kicad_compatibility,Check KiCad version,KiCad integration not working,Ensure compatible KiCad version,Version compatibility matrix,Update or downgrade KiCad,Schematic editor issues,version_management
Integration Issues,Ngspice Path,ngspice_setup,Configure Ngspice path,Ngspice simulation engine not found,Set correct Ngspice installation path,Executable file location,Verify Ngspice installation,Simulation engine errors,tool_configuration
Update Issues,Version Update Failed,manual_update,Download latest version,eSim update process fails,Uninstall old version then reinstall,Clean installation process,Backup projects before update,Update mechanism broken,clean_install
Update Issues,Configuration Lost,restore_config,Copy configuration files,Settings lost after update,Restore configuration from backup,Configuration file locations,Export settings before update,Personalized settings missing,config_backup
Network Issues,Download Failures,check_network,Network connectivity test,Cannot download models or updates,Check internet connection and firewall,Network configuration,Use alternative download methods,Resource download problems,proxy_settings
Network Issues,Proxy Configuration,setup_proxy,Configure proxy settings,Behind corporate firewall,Set proxy in system and eSim settings,Proxy server details,Contact IT for proxy information,Corporate network restrictions,network_configuration
Documentation Issues,Help Not Available,access_help,Online documentation,Built-in help system not working,Visit eSim FOSSEE website for documentation,Internet connection required,Bookmark important documentation,Learning eSim usage,online_resources
Documentation Issues,Tutorial Problems,alternative_tutorials,Spoken Tutorial website,Video tutorials not playing,Use alternative browsers or players,Media player requirements,Download tutorials for offline use,Learning specific features,video_playback
Bug Reports,Crash Reports,report_crash,GitHub Issues → Bug Report,eSim crashes unexpectedly,Document steps to reproduce crash,Crash dump information,Include system information,Getting help from developers,log_analysis
Bug Reports,Feature Requests,request_feature,GitHub Issues → Feature Request,Need functionality not available,Describe desired feature clearly,Use case explanation,Check existing feature requests,Suggesting improvements,community_feedback